dataset_name,vip_layers,bb_alpha,bnn_structure,split,bnn_layer_str,time,LOSS_train,RMSE_train,NLL_train,CRPS_train,LOSS,RMSE,NLL,CRPS
energy,[1],0.5,"[200, 200]",5,BayesLinear,10988.807618265,-198.59536743164065,0.11398299,-0.7070651054382324,0.0650191679596901,23278.69921875,3.5557601,285.37841796875,2.541718006134033
energy,[1],0.5,"[200, 200]",6,BayesLinear,10188.278633467,-195.47422790527344,0.12292972,-0.6461992263793945,0.0693823471665382,13504.708984375,2.7943966,164.67941284179688,2.150970220565796
energy,[1],0.5,"[200, 200]",7,BayesLinear,10187.055048781,-192.8184051513672,0.12300603,-0.6674021482467651,0.0696171447634697,23765.181640625,3.3986394,293.7032775878906,2.494086503982544
energy,[1],0.5,"[200, 200]",8,BayesLinear,9935.610955381,-178.3270721435547,0.15727441,-0.431069940328598,0.0878517180681228,12363.640625,2.8550038,136.41864013671875,2.286927461624145
energy,[1],0.5,"[200, 200]",9,BayesLinear,9879.962042918,-214.8621063232422,0.07642162,-0.8956451416015625,0.0483260191977024,18755.970703125,3.120483,235.80116271972656,2.398171186447144
energy,[1],0.5,"[200, 200]",0,SimplerBayesLinear,14224.840091725,35.2649040222168,2.6111183,2.006463050842285,1.2282341718673706,31.31349372863769,2.3536158,1.9569222927093504,1.109013557434082
energy,[1],0.5,"[200, 200]",1,SimplerBayesLinear,13859.225655663,42.67124176025391,2.5893438,2.020192861557007,1.225456953048706,20.725730895996094,1.8854322,1.8352631330490112,0.9075213670730592
energy,[1],0.5,"[200, 200]",10,SimplerBayesLinear,13875.279177037,33.639427185058594,2.5192943,2.0330069065093994,1.2138381004333496,58.45998001098633,3.06939,2.225985050201416,1.5162861347198486
energy,[1],0.5,"[200, 200]",11,SimplerBayesLinear,13652.881954951,43.26810073852539,2.751928,2.0465939044952397,1.288730263710022,37.72945022583008,2.3921888,1.9998011589050293,1.1499323844909668
energy,[1],0.5,"[200, 200]",12,SimplerBayesLinear,13890.607052174,43.875091552734375,2.6866467,2.0595173835754395,1.2733168601989746,45.04616165161133,2.7870896,2.0694446563720703,1.309985876083374
energy,[1],0.5,"[200, 200]",13,SimplerBayesLinear,7610.644985839001,47.37771224975586,2.661123,2.0924646854400635,1.3024073839187622,46.56043243408203,2.6260343,2.1015961170196533,1.311747670173645
energy,[1],0.5,"[200, 200]",14,SimplerBayesLinear,7641.523379783,36.453739166259766,2.6527035,2.0497758388519287,1.2618932723999023,55.345699310302734,3.0874758,2.2114856243133545,1.5231919288635254
energy,[1],0.5,"[200, 200]",15,SimplerBayesLinear,7699.980315262999,38.66863632202149,2.6788907,2.0904009342193604,1.2914940118789673,37.12615966796875,2.7843764,2.056938648223877,1.288308024406433
energy,[1],0.5,"[200, 200]",16,SimplerBayesLinear,7724.932186341,45.33868789672852,2.7142403,2.072361946105957,1.2932982444763184,45.93919372558594,2.626255,2.1050870418548584,1.2971243858337402
energy,[1],0.5,"[200, 200]",17,SimplerBayesLinear,7594.638218117,44.04861831665039,2.6226788,2.068034410476685,1.2638620138168335,38.398094177246094,2.5174756,2.0179991722106934,1.214397430419922
energy,[1],0.5,"[200, 200]",18,SimplerBayesLinear,7953.593034468,38.01902770996094,2.5703602,2.0070176124572754,1.2094732522964478,65.35134887695312,3.2486281,2.217804431915283,1.596267580986023
energy,[1],0.5,"[200, 200]",19,SimplerBayesLinear,7902.617237693,43.338417053222656,2.7105312,2.0662596225738525,1.2855161428451538,50.50855255126953,2.9604883,2.1086344718933105,1.389082431793213
energy,[1],0.5,"[200, 200]",2,SimplerBayesLinear,13836.359901605,39.03556442260742,2.6574152,2.0130691528320312,1.2419180870056152,61.97546005249024,3.3044264,2.200982093811035,1.593050479888916
energy,[1],0.5,"[200, 200]",3,SimplerBayesLinear,14049.878560336,44.28789520263672,2.739735,2.073911190032959,1.2967413663864136,29.195783615112305,2.1645763,1.954931616783142,1.044464945793152
energy,[1],0.5,"[200, 200]",4,SimplerBayesLinear,13894.95019496,42.54250717163086,2.6847682,2.031250238418579,1.2574125528335571,56.676700592041016,2.9599464,2.1433823108673096,1.4227933883666992
energy,[1],0.5,"[200, 200]",5,SimplerBayesLinear,13974.80490031,41.119083404541016,2.5346656,1.994576334953308,1.1985816955566406,55.064823150634766,2.772429,2.1149935722351074,1.378742814064026
energy,[1],0.5,"[200, 200]",6,SimplerBayesLinear,14016.961622915998,38.04279708862305,2.6118712,2.054835081100464,1.246328353881836,33.98844909667969,2.366812,2.012002944946289,1.1516540050506592
energy,[1],0.5,"[200, 200]",7,SimplerBayesLinear,14097.108946992,44.41943359375,2.6670694,2.0716025829315186,1.2752724885940552,46.418983459472656,2.585941,2.0925207138061523,1.2781749963760376
energy,[1],0.5,"[200, 200]",8,SimplerBayesLinear,14142.039714696,37.873348236083984,2.6583188,2.0491421222686768,1.2584856748580933,45.92071914672852,2.7344692,2.095221281051636,1.320080280303955
energy,[1],0.5,"[200, 200]",9,SimplerBayesLinear,13906.740636099,36.61792755126953,2.4751477,1.985318660736084,1.1777251958847046,46.45216369628906,2.5616543,2.0573718547821045,1.2530676126480105
energy,[1],0.0,"[200, 200]",0,SimplerBayesLinear,9722.460406694,46.951942443847656,2.5318158,2.3500726222991943,1.380252718925476,40.63029098510742,2.3490293,2.2857120037078857,1.260114669799805
energy,[1],0.0,"[200, 200]",1,SimplerBayesLinear,9539.461331118,49.81142044067383,2.5500894,2.3582746982574463,1.3905237913131714,35.254669189453125,2.03842,2.1893186569213867,1.1150071620941162
energy,[1],0.0,"[200, 200]",10,SimplerBayesLinear,10104.683972274,43.75934982299805,2.486683,2.331613063812256,1.3517487049102783,61.70718002319336,3.0357118,2.57043719291687,1.6699720621109009
energy,[1],0.0,"[200, 200]",11,SimplerBayesLinear,10244.942595334,47.04522705078125,2.4409308,2.314883232116699,1.3320707082748413,42.627906799316406,2.299008,2.261604785919189,1.2653577327728271
energy,[1],0.0,"[200, 200]",12,SimplerBayesLinear,10191.114564902,44.68009948730469,2.505958,2.3396224975585938,1.3651576042175293,42.397735595703125,2.455923,2.322512626647949,1.3340524435043335
energy,[1],0.0,"[200, 200]",13,SimplerBayesLinear,10164.442113734,45.74749374389648,2.3102343,2.2592499256134038,1.2661484479904177,45.45514297485352,2.2769134,2.246543884277344,1.2844781875610352
energy,[1],0.0,"[200, 200]",14,SimplerBayesLinear,10045.843831432,44.345211029052734,2.4377458,2.3124537467956543,1.3269143104553225,61.89961624145508,2.970348,2.5414481163024902,1.635530948638916
energy,[1],0.0,"[200, 200]",15,SimplerBayesLinear,10252.523549234,43.50069808959961,2.4746432,2.3273792266845703,1.3486404418945312,52.13315963745117,2.7719176,2.4477319717407227,1.4708523750305176
energy,[1],0.0,"[200, 200]",16,SimplerBayesLinear,10026.133621463,44.79519271850586,2.5084999,2.340669870376587,1.3659716844558716,39.29467391967773,2.3456936,2.2814483642578125,1.2877743244171145
energy,[1],0.0,"[200, 200]",17,SimplerBayesLinear,10057.251315776,46.35930252075195,2.5225375,2.34669041633606,1.3685357570648191,41.087650299072266,2.3856268,2.2969114780426025,1.3072271347045898
energy,[1],0.0,"[200, 200]",18,SimplerBayesLinear,10216.902928397,43.54780960083008,2.4186661,2.304023027420044,1.309657096862793,69.85628509521484,3.165404,2.6427552700042725,1.788796067237854
energy,[1],0.0,"[200, 200]",19,SimplerBayesLinear,10342.340754434,56.46699523925781,2.5311995,2.34914231300354,1.3974549770355225,61.23543930053711,2.7109501,2.419085502624512,1.4656651020050049
energy,[1],0.0,"[200, 200]",2,SimplerBayesLinear,9619.228346194,40.17115783691406,2.4224296,2.3060076236724854,1.314356565475464,67.05773162841797,3.172351,2.6457104682922363,1.7437745332717896
energy,[1],0.0,"[200, 200]",3,SimplerBayesLinear,9761.577127037,44.59699249267578,2.538029,2.352614641189575,1.3851678371429443,31.22181510925293,2.0685174,2.194777488708496,1.1451876163482666
energy,[1],0.0,"[200, 200]",4,SimplerBayesLinear,9892.986123454,44.72867202758789,2.471671,2.3261878490448,1.340053677558899,53.35783386230469,2.7680812,2.446157455444336,1.5210511684417725
energy,[1],0.0,"[200, 200]",5,SimplerBayesLinear,10192.65845405,45.67856979370117,2.5025039,2.338652849197388,1.3527867794036863,50.56256103515625,2.6973352,2.4158802032470703,1.4925154447555542
energy,[1],0.0,"[200, 200]",6,SimplerBayesLinear,10248.704196219,48.04989242553711,2.5172575,2.344611644744873,1.3705288171768188,43.30426788330078,2.3809197,2.296638965606689,1.306278109550476
energy,[1],0.0,"[200, 200]",7,SimplerBayesLinear,10214.318710339,44.57243347167969,2.5000985,2.337193489074707,1.3588125705718994,45.98407745361328,2.5755658,2.3671889305114746,1.3894871473312378
energy,[1],0.0,"[200, 200]",8,SimplerBayesLinear,10297.52417242,47.51295852661133,2.514668,2.3435933589935303,1.3697112798690796,57.16938781738281,2.8436282,2.478975296020508,1.5831317901611328
energy,[1],0.0,"[200, 200]",9,SimplerBayesLinear,10157.392846387,43.40744018554688,2.4719574,2.3265395164489746,1.3475689888000488,50.57302474975586,2.711844,2.4226067066192627,1.467241883277893
energy,[2],0.0,"[10, 10]",0,BayesLinear,1959.274546391,346.6228942871094,0.036885276,-1.5551602840423584,0.0242518540471792,6014.466796875,0.7752004,55.79524993896485,0.5220606327056885
energy,[2],0.0,"[10, 10]",1,BayesLinear,1962.352251238,380.7763977050781,0.037557058,-1.5658634901046753,0.0243213642388582,4290.89208984375,0.63330024,34.44796371459961,0.3924429714679718
energy,[2],0.0,"[10, 10]",10,BayesLinear,2730.302645258,351.5130920410156,0.033242658,-1.6307809352874756,0.0222456417977809,5676.056640625,0.69941664,55.08774185180664,0.4096848964691162
energy,[2],0.0,"[10, 10]",11,BayesLinear,1415.286102553,357.8824157714844,0.031131461,-1.6205416917800903,0.0219487082213163,8744.6650390625,0.9163319,80.9049301147461,0.5777328610420227
energy,[2],0.0,"[10, 10]",12,BayesLinear,1415.323504525,363.6398010253906,0.03217523,-1.6601779460906982,0.0215632896870374,6969.45263671875,0.7675144,62.691009521484375,0.4849452972412109
