split,layers,iterations,batch,dataset,NLL,RMSE,CRPS,time
8,1,150000,100,concrete,3.13454747354054,5.419734809486397,3.0517485110221694,1030.917211459
9,1,150000,100,concrete,3.243622602596113,6.359439883060904,3.495287422610037,1022.778133516
0,2,150000,100,concrete,3.1412997725115948,5.4830607148739805,3.117591902231758,5741.529457275999
1,2,150000,100,concrete,3.200780550897221,6.29817648426341,3.3323229982111235,5737.159122614
10,2,150000,100,concrete,3.2772779365004325,6.5165297208165445,3.4367085614740964,5696.4571003930005
11,2,150000,100,concrete,3.138051826986698,5.4975726812212615,3.089012549563804,5785.606098481
12,2,150000,100,concrete,3.250534223626832,6.377835322645915,3.505739499532601,5689.212526575
13,2,150000,100,concrete,3.092993950140971,5.238680456714141,2.9250437026186558,5546.320808018
14,2,150000,100,concrete,3.1673642152428103,5.720603400696006,3.1675326241966952,5751.213512634
15,2,150000,100,concrete,3.0882589840126964,5.336869959752567,2.933306539043683,5659.1566003670005
16,2,150000,100,concrete,3.2457167103136424,6.1958723533508495,3.477282326348421,5682.245550346
17,2,150000,100,concrete,3.30145795787754,7.101158909638179,3.625130791772449,5787.617207584
18,2,150000,100,concrete,3.211383837118312,6.294428571769617,3.448415494788706,5716.88938171
19,2,150000,100,concrete,3.1186583820613123,5.321222857938215,2.9582310172021717,5786.278300094
2,2,150000,100,concrete,3.142538920828342,5.966864095478464,3.1979244496811408,5745.628950734999
3,2,150000,100,concrete,3.074294053664481,5.32591338241168,2.826820194548758,5771.210612933
4,2,150000,100,concrete,3.090627877718632,5.105550278232068,2.8515824983750377,5762.436643625
5,2,150000,100,concrete,3.272890359012546,6.693238656317756,3.6093861743542703,5749.218666872
6,2,150000,100,concrete,3.163004940875128,5.780096592304718,3.2475882959184057,5712.016258431
7,2,150000,100,concrete,3.121224348608703,5.330586444426859,3.0127200177732294,5634.342501763
8,2,150000,100,concrete,3.125985479949631,5.352105486634697,3.017977220090461,5721.572393453
9,2,150000,100,concrete,3.2608987281665947,6.461691074951548,3.5559621363294283,5738.932164333
0,3,150000,100,concrete,3.2007585958635323,5.823073160453663,3.3026446000653853,10134.012805694
1,3,150000,100,concrete,3.2306135064985453,6.3012382206461295,3.395640229059006,10201.232009385
10,3,150000,100,concrete,3.2931929797763853,6.609249503969743,3.5355934023192384,10444.643330034
11,3,150000,100,concrete,3.178342229895879,5.755136806557079,3.2209656680971324,10454.520694054
12,3,150000,100,concrete,3.2800466107653383,6.525359540914333,3.5930952810112973,10440.480179962
13,3,150000,100,concrete,3.0889105684989344,5.218676084841001,2.897582956660189,10451.167218427
