num_samples_train,num_samples_test,genf,dataset_name,epochs,vip_layers,bnn_structure,regression_coeffs,batch_size,dropout,lr,warmup,fix_prior_noise,freeze_prior,freeze_posterior,seed,split,activation_str,LOSS,RMSE,NLL,CRPS
1,200,BNN,concrete,40000,[4],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,15,tanh,324.5445251464844,4.9983244,3.0747270584106445,9.428271293640137
1,200,BNN,energy,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,19,tanh,-830.3521728515625,0.6368443,1.022114872932434,5.783805847167969
1,200,BNN,concrete,40000,[4],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,10,tanh,442.4528503417969,5.7734637,3.16857385635376,9.66778564453125
1,200,BNN,concrete,40000,[4],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,11,tanh,411.4637145996094,5.763338,3.17712664604187,8.473121643066406
1,200,BNN,boston,40000,[2],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,0,tanh,1653.4600830078125,5.5938954,5.142049312591553,4.797972202301025
1,200,BNN,energy,40000,[5],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,18,tanh,-720.9005126953125,0.5928119,1.095455527305603,5.5780439376831055
1,200,BNN,energy,40000,[4],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,19,tanh,-779.9420776367188,0.56605947,0.989320695400238,5.780867099761963
1,200,BNN,boston,40000,[2],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,8,tanh,193.6118621826172,2.457723,2.331892490386963,4.216694355010986
1,200,BNN,energy,40000,[1],"[200, 200]",20,10000,0.1,0.001,0,True,False,False,2147483647,4,tanh,-828.2743530273438,0.4580839,0.9853344559669496,6.528334140777588
1,200,BNN,concrete,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,19,tanh,292.8277893066406,4.8137693,2.9924755096435547,10.043688774108888
1,200,BNN,concrete,40000,[1],"[200, 200]",20,10000,0.1,0.001,0,True,False,False,2147483647,9,tanh,1337.5584716796875,4.437353,4.1561360359191895,9.19705581665039
1,200,BNN,boston,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,12,tanh,360.7207336425781,3.5069096,2.8543777465820312,5.177917003631592
1,200,BNN,concrete,40000,[5],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,8,tanh,409.25579833984375,5.601148,3.163187026977539,9.636320114135742
1,200,BNN,energy,40000,[1],"[200, 200]",20,10000,0.1,0.001,0,True,False,False,2147483647,10,tanh,-90.99422454833984,0.60617256,2.054433584213257,5.825397491455078
1,200,BNN,boston,40000,[5],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,8,tanh,136.83604431152344,2.4651415,2.29607367515564,4.215260982513428
1,200,BNN,boston,40000,[4],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,8,tanh,156.82167053222656,2.5221562,2.3308820724487305,4.216073513031006
1,200,BNN,concrete,40000,[1],"[200, 200]",20,10000,0.1,0.001,0,True,False,False,2147483647,7,tanh,1613.4791259765625,4.5915294,4.459165573120117,8.581975936889648
1,200,BNN,energy,40000,[4],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,12,tanh,-782.947265625,0.53208554,0.989288568496704,6.029932975769043
1,200,BNN,concrete,40000,[1],"[200, 200]",20,10000,0.1,0.001,0,True,False,False,2147483647,11,tanh,1331.7490234375,4.4169645,4.159666061401367,8.48006820678711
1,200,BNN,boston,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,1,tanh,1515.5810546875,6.005269,5.019057273864746,4.746890544891357
1,200,BNN,boston,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,15,tanh,332.12554931640625,3.1774218,2.801942825317383,4.824629783630371
1,200,BNN,concrete,40000,[2],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,6,tanh,262.3046569824219,4.5351143,2.932098150253296,8.984007835388184
1,200,BNN,concrete,40000,[5],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,19,tanh,410.721923828125,5.5878253,3.1543729305267334,10.050333023071287
1,200,BNN,concrete,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,9,tanh,314.8021545410156,5.01516,3.023660898208618,9.259842872619627
1,200,BNN,energy,40000,[2],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,14,tanh,-848.1920166015625,0.5102974,0.8927861452102661,5.756628036499023
1,200,BNN,energy,40000,[2],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,9,tanh,-892.9856567382812,0.44847217,0.8261851668357849,5.279519557952881
1,200,BNN,energy,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,8,tanh,-840.8434448242188,0.5268283,0.918194055557251,5.105566024780273
